Tags,Meaning
pass-by-name,
tf-idf,"“Term-frequency ⨉ Inverse Document Frequency”, or “tf-idf”, measures how important a word is to a document in a collection or corpus."
cadence-workflow,Questions related to the Cadence workflow engine
icu,The International Components for Unicode is a set of cross-platform open source C/C++ and Java libraries for Unicode and globalization support. It is developed by the Unicode Consortium. Use this tag when you have a question about using the ICU. Be sure to include the appropriate language tag and the version of ICU that you are using.
dbi,"DBI is a database access module for the Perl programming language. It defines a set of methods, variables, and conventions that provide a consistent database interface, independent of the actual database being used. For the equivalent R package, use the tag r-dbi."
flash-player-11,Version 11 of Adobe Flash player released on October 2011
angular-universal,Angular Universal is a server-side rendering module for Angular applications.
cookiecutter,"A command-line utility that creates projects from cookiecutters (project templates), e.g. creating a Python package project from a Python package project template."
abc,Abstract Base Classes are non-instantiable classes used to define the expected behaviour of subclasses.
just-audio,"just_audio is a Flutter plugin for playing audio from files, assets, URLs and byte streams."
python-wheel,"​​​​​​​​​​​​​​​​​​​​A wheel is a ZIP-like archive format for Python packages with the .whl extension.
"
google-fit-api,The Google Fit REST API enables you to store and access user data in the fitness store from apps on any platform.
yarn-v2,
application.cfc,
biopython,Biopython is a set of freely available tools for biological computation written in Python. Please only use this tag for issues relating to the Biopython suite of tools.
google-identity,The Google Identity Platform consists of identity tools from Google to help you quickly build an authentication system for reducing the friction of getting users into your app.
java-stream,"Use this tag for questions related to the use of the Stream API. It was introduced in Java 8 and supports functional-style operations on streams of values, such as filter-map-reduce pipelines on collections."
ms-media-foundation,Media Foundation is an API which enables development of multimedia applications on Windows.
feature-extraction,"In pattern recognition and in image processing, feature extraction is a special form of dimensionality reduction. Transforming the input data into the set of features is called feature extraction. If the features extracted are carefully chosen it is expected that the features set will extract the relevant information from the input data in order to perform the desired task using this reduced representation instead of the full size input."
